filename,basic_ntokens,basic_ntypes,basic_ncontent_tokens,basic_ncontent_types,basic_nfunction_tokens,basic_nfunction_types,lexical_density_types,lexical_density_tokens,simple_ttr_aw,root_ttr_aw,log_ttr_aw,maas_ttr_aw,mattr50_aw,msttr50_aw,hdd42_aw,mtld_original_aw,mtld_ma_bi_aw,mtld_ma_wrap_aw
1053.txt,39,31,18,15,21,16,0.4838709677419355,0.46153846153846156,0.7948717948717948,4.963972767957701,0.9373357230423479,0.0393851240741027,0.7948717948717948,0.7948717948717948,0.0,53.23499999999999,0.0,44.0
1735.txt,143,53,64,33,79,20,0.6226415094339622,0.44755244755244755,0.3706293706293706,4.432082653037581,0.8000032661397652,0.09279143965664645,0.5821276595744682,0.5800000000000001,0.6153213608388776,31.726614729260312,29.950790513833994,31.874125874125873
1721.txt,136,57,61,36,75,21,0.631578947368421,0.4485294117647059,0.41911764705882354,4.887709676561502,0.8229870328513397,0.0829668333931994,0.6441379310344826,0.74,0.6642892412169582,42.03875968992248,36.41145155566071,43.19117647058823
1047.txt,116,61,57,37,59,24,0.6065573770491803,0.49137931034482757,0.5258620689655172,5.663707814400082,0.864793492687794,0.06549249634420365,0.7226865671641789,0.73,0.7345346011325837,47.456774466286205,45.201858486341244,46.008620689655174
1709.txt,189,85,88,51,101,34,0.6,0.4656084656084656,0.4497354497354497,6.182840223353117,0.8475516356906374,0.06696724013989251,0.7411428571428571,0.7600000000000001,0.7337148826903004,59.320093457943926,53.56461876663195,54.64021164021164
289.txt,79,45,38,29,41,16,0.6444444444444445,0.4810126582278481,0.569620253164557,5.062895554167108,0.8711998903067469,0.06787429958415343,0.6739999999999997,0.56,0.6743561410998117,37.398936170212764,33.11857142857143,34.64556962025316
504.txt,47,33,22,17,25,16,0.5151515151515151,0.46808510638297873,0.7021276595744681,4.813544719430521,0.9081489654873212,0.054931614245396644,0.7021276595744681,0.7021276595744681,0.7258851232024222,47.0,38.90909090909091,40.638297872340424
1090.txt,49,36,21,16,28,20,0.4444444444444444,0.42857142857142855,0.7346938775510204,5.142857142857143,0.9207822211616018,0.046868987435506174,0.7346938775510204,0.7346938775510204,0.7596881876401506,42.453697270471466,18.666666666666664,42.020833333333336
262.txt,236,113,131,74,105,39,0.6548672566371682,0.5550847457627118,0.4788135593220339,7.355673470416549,0.8652147407546674,0.05680162562986984,0.7623529411764701,0.76,0.7750902589698621,59.0973597359736,59.085676972605235,60.483050847457626
276.txt,91,43,34,23,57,20,0.5348837209302325,0.37362637362637363,0.4725274725274725,4.507624797904249,0.8338100777157318,0.0848322669116065,0.5933333333333333,0.64,0.6212890369076888,26.020957987776512,25.851934523809526,24.846153846153847
1084.txt,72,48,32,27,40,21,0.5625,0.4444444444444444,0.6666666666666666,5.656854249492381,0.9051913109828057,0.051045620102680836,0.7443478260869566,0.7,0.7736868068313255,48.9587250155417,48.51190476190476,52.861111111111114
510.txt,83,42,37,25,46,17,0.5952380952380952,0.4457831325301205,0.5060240963855421,4.610098919566995,0.845848481542563,0.08032581845930874,0.6158823529411767,0.54,0.6565147958569748,29.122807017543863,27.21286472148541,25.10843373493976
538.txt,37,28,17,17,20,11,0.6071428571428571,0.4594594594594595,0.7567567567567568,4.603171644550004,0.9228136974554144,0.049219626123359686,0.7567567567567568,0.7567567567567568,0.0,42.59111111111112,0.0,38.0
1912.txt,30,22,16,15,14,7,0.6818181818181818,0.5333333333333333,0.7333333333333333,4.016632088371218,0.9088100767170803,0.06173489345681807,0.7333333333333333,0.7333333333333333,0.0,31.499999999999996,0.0,29.2
1906.txt,103,52,51,33,52,19,0.6346153846153846,0.49514563106796117,0.5048543689320388,5.123712246454325,0.852529614701531,0.07326493344242954,0.6814814814814816,0.6699999999999999,0.7016152115130229,41.16104763437399,38.27764976958525,39.019417475728154
1537.txt,280,121,141,83,139,38,0.6859504132231405,0.5035714285714286,0.43214285714285716,7.231133086473081,0.8511037471389138,0.06084455967047601,0.7600865800865793,0.732,0.7754131341527336,56.0,57.034541062801935,58.339285714285715
1251.txt,48,35,20,19,28,16,0.5428571428571428,0.4166666666666667,0.7291666666666666,5.0518148554092255,0.9184095714667109,0.04852987585568125,0.7291666666666666,0.7291666666666666,0.7489674730655306,48.81230769230769,27.649572649572647,42.166666666666664
909.txt,88,44,41,21,47,23,0.4772727272727273,0.4659090909090909,0.5,4.69041575982343,0.8451876172642317,0.07961623158337529,0.6758974358974361,0.68,0.6726951070159319,38.49325423643964,37.82803672316384,37.35227272727273
1245.txt,126,58,60,35,66,23,0.603448275862069,0.47619047619047616,0.4603174603174603,5.167050676973538,0.8395794721374908,0.0763772507833993,0.597922077922078,0.63,0.6921781623954681,40.6392884664783,28.880081300813007,34.45238095238095
1523.txt,75,50,42,32,33,18,0.64,0.56,0.6666666666666666,5.773502691896257,0.9060877303085239,0.050084907370761406,0.7646153846153847,0.76,0.762629844640263,47.80253346978843,58.71483375959079,52.2
921.txt,94,56,44,27,50,29,0.48214285714285715,0.46808510638297873,0.5957446808510638,5.775958979049243,0.8859983522187239,0.05777712152473843,0.764888888888889,0.82,0.7653336327714249,60.84706597750076,53.00146627565982,49.09574468085106
935.txt,158,95,75,56,83,39,0.5894736842105263,0.47468354430379744,0.6012658227848101,7.557794199669435,0.8995143522032298,0.04570319236819361,0.7917431192660549,0.7933333333333333,0.8042989907520118,70.97154471544715,75.3059493670886,71.12658227848101
1279.txt,110,61,49,31,61,30,0.5081967213114754,0.44545454545454544,0.5545454545454546,5.816121794398113,0.8745646283494883,0.06144597879794467,0.6554098360655736,0.69,0.7306469983376356,48.82485029940119,34.86705685618729,49.28181818181818
1292.txt,113,61,57,40,56,21,0.6557377049180327,0.504424778761062,0.5398230088495575,5.738397297139943,0.8695867616152219,0.06352082590838976,0.7156250000000002,0.7,0.7268660566285245,49.71812389221691,42.79407484407484,43.256637168141594
706.txt,71,47,41,30,30,17,0.6382978723404256,0.5774647887323944,0.6619718309859155,5.5778737935111105,0.9032223185341351,0.05227670224030451,0.7263636363636363,0.76,0.7541564665825744,62.299019607843135,41.44173913043478,47.647887323943664
712.txt,67,48,31,28,36,20,0.5833333333333334,0.4626865671641791,0.7164179104477612,5.864133329102651,0.9206858530050217,0.04343422672371906,0.7455555555555556,0.74,0.7972773428358411,67.0,35.39791666666667,55.6865671641791
1286.txt,94,58,38,33,56,25,0.5689655172413793,0.40425531914893614,0.6170212765957447,5.982243228301002,0.8937221125056884,0.05386264620431072,0.7057777777777776,0.74,0.7475912571804947,42.90804325518983,37.123245614035085,48.808510638297875
1443.txt,159,83,83,53,76,30,0.6385542168674698,0.5220125786163522,0.5220125786163522,6.582328161460596,0.8717546103674836,0.05825636284144071,0.7698181818181811,0.7266666666666666,0.7696254333324496,55.28959494329641,51.80256739409499,51.0188679245283
29.txt,60,41,29,23,31,18,0.5609756097560976,0.48333333333333334,0.6833333333333333,5.293077239816803,0.9070003782702796,0.052301299852673004,0.7400000000000001,0.74,0.745215757101696,47.116807610993654,49.598901098901095,47.85
1325.txt,118,57,42,28,76,29,0.49122807017543857,0.3559322033898305,0.4830508474576271,5.247275322020443,0.8474782103810493,0.07361509443158902,0.5805797101449274,0.5800000000000001,0.6523459696568308,23.6,22.39010989010989,27.89830508474576
869.txt,111,58,50,28,61,30,0.4827586206896552,0.45045045045045046,0.5225225225225225,5.505116375364494,0.8621758088343836,0.06738504998725313,0.666451612903226,0.5900000000000001,0.7183058161506378,42.655440414507765,34.26807760141094,38.693693693693696
1331.txt,187,97,89,61,98,36,0.6288659793814433,0.47593582887700536,0.5187165775401069,7.093342514033167,0.8745203576472688,0.055232566386540165,0.7418840579710149,0.7266666666666666,0.7804628274598658,57.80329457364341,54.87648267762772,53.0427807486631
1457.txt,188,78,90,45,98,33,0.5769230769230769,0.4787234042553192,0.4148936170212766,5.688734668417887,0.8319979210339762,0.07387441422345377,0.6764028776978414,0.66,0.7009116740324456,44.28335172057031,39.405015629440186,41.17553191489362
15.txt,35,23,16,11,19,12,0.4782608695652174,0.45714285714285713,0.6571428571428571,3.8877095717511763,0.881909214428818,0.07648029891122653,0.6571428571428571,0.6571428571428571,0.0,28.636363636363633,20.923529411764704,23.914285714285715
1319.txt,99,46,49,28,50,18,0.6086956521739131,0.494949494949495,0.46464646464646464,4.623173950192376,0.8331972878524496,0.08358376951815018,0.5992000000000001,0.64,0.6476947171657339,36.46189645142525,28.59440975319655,29.565656565656564
855.txt,114,58,58,34,56,24,0.5862068965517241,0.5087719298245614,0.5087719298245614,5.432197707173825,0.8573211310271115,0.06936580896300722,0.6563076923076924,0.65,0.6885747511719937,38.0,32.51033182503771,35.20175438596491
699.txt,125,73,70,48,55,25,0.6575342465753424,0.56,0.584,6.529318494299385,0.8886041120322015,0.053123828527099765,0.7318421052631578,0.7,0.7752248871455533,55.70652173913044,42.23313953488372,53.544
841.txt,179,92,85,51,94,41,0.5543478260869565,0.4748603351955307,0.5139664804469274,6.87640285331781,0.8716892759273306,0.05695476904539121,0.7326153846153846,0.6933333333333334,0.7629239857078227,46.04831394543692,43.222138836772984,44.687150837988824
1480.txt,41,31,23,18,18,13,0.5806451612903226,0.5609756097560976,0.7560975609756098,4.841386618546788,0.9247126870847869,0.04668158885738167,0.7560975609756098,0.7560975609756098,0.0,47.068000000000005,0.0,41.35897435897436
114.txt,135,52,62,29,73,23,0.5576923076923077,0.45925925925925926,0.3851851851851852,4.475447422284127,0.8055091502619731,0.0912959521246414,0.6397674418604651,0.6499999999999999,0.639770287124737,33.75,33.71713859910581,32.096296296296295
672.txt,142,73,71,43,71,30,0.589041095890411,0.5,0.5140845070422535,6.12602391556583,0.8657403479339888,0.0623799559275577,0.7307526881720431,0.75,0.7701853960868362,60.49704142011834,48.99820574162679,57.0
666.txt,191,78,91,49,100,29,0.6282051282051282,0.47643979057591623,0.4083769633507853,5.643881921280888,0.8294901029762064,0.07475116299132845,0.7073239436619718,0.6933333333333334,0.7099662476425012,44.01161951175489,42.59761871605626,44.952879581151834
100.txt,62,40,26,22,36,18,0.55,0.41935483870967744,0.6451612903225806,5.08000508000762,0.8938113252335089,0.05924412358563023,0.6784615384615383,0.7,0.7167361922208231,41.17180553563746,36.65104166666667,40.83870967741935
1494.txt,132,63,57,37,75,26,0.5873015873015873,0.4318181818181818,0.4772727272727273,5.483446162604482,0.8485158300660609,0.07143545796953124,0.6771084337349392,0.71,0.712410419183826,41.726984684196665,37.44106578353154,39.65151515151515
128.txt,129,62,64,35,65,27,0.5645161290322581,0.49612403100775193,0.4806201550387597,5.458795619218868,0.8492373864762757,0.07143151167090098,0.6382499999999995,0.63,0.6750130531751845,32.25,29.96285852400902,29.72093023255814
896.txt,155,77,76,45,79,32,0.5844155844155844,0.49032258064516127,0.4967741935483871,6.184788832549241,0.8612808401341107,0.0633324897693666,0.6975471698113207,0.6933333333333334,0.7268752423457343,41.58513838748495,39.10569007263922,39.56774193548387
882.txt,59,38,30,24,29,14,0.631578947368421,0.5084745762711864,0.6440677966101694,4.947178617271307,0.8921036801668408,0.06092904382964497,0.6980000000000001,0.68,0.6956963286267156,31.48552508824406,26.87777777777778,31.050847457627118
1127.txt,104,68,48,43,56,25,0.6323529411764706,0.46153846153846156,0.6538461538461539,6.667948594698258,0.9085169178925453,0.045355265242794006,0.7483636363636363,0.75,0.7809105558433131,54.831683168316836,48.432539682539684,56.52884615384615
1641.txt,158,59,76,35,82,24,0.5932203389830508,0.4810126582278481,0.37341772151898733,4.693787976636807,0.8054243757015909,0.0884974857848047,0.7003669724770644,0.6999999999999998,0.6621008545285435,46.78531919237088,42.46021851799972,40.537974683544306
1899.txt,84,59,44,35,40,24,0.5932203389830508,0.5238095238095238,0.7023809523809523,6.437427761961776,0.9202676682480261,0.04143490621631615,0.8617142857142853,0.86,0.8310995303967186,84.0,79.83333333333334,74.85714285714286
1655.txt,110,43,49,27,61,16,0.627906976744186,0.44545454545454544,0.39090909090909093,4.099889133756047,0.8001735616354376,0.09788730988279905,0.5154098360655739,0.54,0.5861273114348913,24.260478759130216,24.978476579600176,26.863636363636363
1133.txt,134,78,63,42,71,36,0.5384615384615384,0.4701492537313433,0.582089552238806,6.7381737195346085,0.8895164000123599,0.051940835295267725,0.784941176470588,0.78,0.7965520215389108,70.54151542649728,62.177434456928836,67.82835820895522
1669.txt,166,80,75,47,91,33,0.5875,0.45180722891566266,0.4819277108433735,6.2092042056506624,0.8572060059796549,0.06431848736986757,0.6979487179487182,0.6933333333333334,0.7122622979586788,39.688300349243306,41.89042207792208,41.16265060240964
470.txt,121,57,57,38,64,19,0.6666666666666666,0.47107438016528924,0.47107438016528924,5.181818181818182,0.8430416694379367,0.07535981997905798,0.6677777777777778,0.65,0.6736569614082657,39.05398364632327,36.22179487179487,37.05785123966942
316.txt,153,73,76,47,77,26,0.6438356164383562,0.49673202614379086,0.477124183006536,5.901700209217436,0.8528997888837445,0.06733225985200329,0.698269230769231,0.7066666666666667,0.7183039117094613,43.83325482807348,42.242808272430416,41.65359477124183
1682.txt,100,51,52,27,48,24,0.5294117647058824,0.52,0.51,5.1,0.8537850880489681,0.07310745597551593,0.6721568627450978,0.6799999999999999,0.7021973014747123,40.57923701147281,38.64247311827957,37.33
1696.txt,72,50,36,28,36,22,0.56,0.5,0.6944444444444444,5.892556509887896,0.9147365954132973,0.045906376349162156,0.8000000000000004,0.82,0.7842038019535221,65.07692307692308,62.80952380952381,58.736111111111114
302.txt,93,55,46,31,47,24,0.5636363636363636,0.4946236559139785,0.5913978494623656,5.703234321017339,0.8841136728020579,0.05887088190582154,0.7377272727272725,0.72,0.7547163135002142,53.50805263831968,51.379321181646766,54.56989247311828
464.txt,138,71,70,47,68,24,0.6619718309859155,0.5072463768115942,0.5144927536231884,6.043921368387116,0.8651228756258598,0.06303025494817618,0.7462921348314604,0.7,0.7588467096915102,58.08227848101266,52.40375294280571,48.268115942028984
1866.txt,128,70,64,39,64,31,0.5571428571428572,0.5,0.546875,6.18718433538229,0.8756118595635667,0.05902977976951179,0.7374683544303792,0.73,0.7482769395783342,42.666666666666664,42.89374003189793,41.140625
1872.txt,92,53,54,34,38,19,0.6415094339622641,0.5869565217391305,0.5760869565217391,5.525631972512482,0.8780357254436627,0.06210664556424914,0.7213953488372091,0.74,0.7089373782563735,41.32520325203252,36.572580645161295,34.858695652173914
458.txt,187,76,94,47,93,29,0.618421052631579,0.5026737967914439,0.40641711229946526,5.557670423366193,0.8278805999808044,0.07576205996226892,0.6859420289855068,0.6933333333333334,0.7007614890243307,44.741838487972515,43.58810196632521,45.60427807486631
1873.txt,169,63,78,36,91,27,0.5714285714285714,0.46153846153846156,0.3727810650887574,4.846153846153846,0.8076445475110442,0.08633987181242736,0.6238333333333338,0.6333333333333333,0.6702843915544975,39.29958100558659,37.21804511278195,37.52662721893491
459.txt,72,49,29,23,43,26,0.46938775510204084,0.4027777777777778,0.6805555555555556,5.774705379690139,0.9100126570100423,0.048449775774053336,0.777391304347826,0.74,0.7796676335363697,59.35955056179776,53.433014354066984,55.611111111111114
1867.txt,73,49,33,26,40,23,0.5306122448979592,0.4520547945205479,0.6712328767123288,5.7350162126103985,0.9070870734228257,0.04986410490942393,0.745,0.7,0.7722742217316878,59.72727272727272,53.425925925925924,57.50684931506849
303.txt,154,71,73,42,81,29,0.5915492957746479,0.474025974025974,0.461038961038961,5.7213430445802,0.8462815145408963,0.07027064200805598,0.7259047619047622,0.7133333333333334,0.7373872798137343,53.76696423543211,48.495999219359874,49.9025974025974
1697.txt,62,48,27,23,35,25,0.4791666666666667,0.43548387096774194,0.7741935483870968,6.096006096009144,0.9379876325169856,0.03459755356284516,0.7984615384615383,0.84,0.8253830962603107,76.88000000000001,0.0,67.0
465.txt,106,57,61,37,45,20,0.6491228070175439,0.5754716981132075,0.5377358490566038,5.5363294154364056,0.8669677433847475,0.06568502017242767,0.7199999999999996,0.69,0.7213391217643833,48.32352941176471,35.66904047976012,43.06603773584906
471.txt,87,43,43,30,44,13,0.6976744186046512,0.4942528735632184,0.4942528735632184,4.610083899802517,0.8422027537876609,0.08135894809978866,0.6257894736842106,0.68,0.655854819080295,38.85585782042196,33.100563909774436,33.827586206896555
1683.txt,91,62,41,39,50,23,0.6290322580645161,0.45054945054945056,0.6813186813186813,6.499365987675894,0.9149330363941972,0.043422749483110486,0.7633333333333335,0.8,0.786183985131624,79.84803921568627,72.03296703296704,59.53846153846154
317.txt,96,49,49,27,47,22,0.5510204081632653,0.5104166666666666,0.5104166666666666,5.001041558182322,0.8526563125454867,0.07433073991018872,0.6753191489361702,0.68,0.6872575832138447,44.20253164556962,37.845454545454544,36.802083333333336
1668.txt,96,59,46,37,50,22,0.6271186440677966,0.4791666666666667,0.6145833333333334,6.02166228434198,0.8933449581098754,0.053804464350008394,0.784255319148936,0.68,0.7634738933456822,48.0,55.5125,54.145833333333336
1654.txt,17,15,8,8,9,7,0.5333333333333333,0.47058823529411764,0.8823529411764706,3.6380343755449944,0.9558229022122232,0.035903235819242575,0.8823529411764706,0.8823529411764706,0.0,40.459999999999994,0.0,21.0
1132.txt,108,68,55,38,53,30,0.5588235294117647,0.5092592592592593,0.6296296296296297,6.543303050815759,0.901193815485548,0.048591044659449543,0.7389830508474575,0.76,0.8052298284467961,49.55000303600704,43.30199803471995,57.120370370370374
1126.txt,207,83,98,52,109,31,0.6265060240963856,0.47342995169082125,0.40096618357487923,5.768898788912401,0.828628093680301,0.07399572566024762,0.6948101265822791,0.685,0.707654796657486,41.4,41.75341669089852,40.08695652173913
1898.txt,85,50,36,27,49,23,0.54,0.4235294117647059,0.5882352941176471,5.423261445466404,0.8805604535609295,0.061904413213347484,0.713888888888889,0.64,0.7473467477129181,49.12026491423886,44.839285714285715,49.141176470588235
1640.txt,83,55,38,31,45,24,0.5636363636363636,0.4578313253012048,0.6626506024096386,6.037034299432969,0.9068743457643473,0.04852624528705378,0.7611764705882352,0.72,0.7829621345202664,56.03513293543136,51.2875,59.80722891566265
883.txt,143,68,62,37,81,31,0.5441176470588235,0.43356643356643354,0.4755244755244755,5.686445668048217,0.850219585648227,0.06949283626692988,0.7057446808510636,0.72,0.7093014623677985,36.44478798586572,40.3888198757764,39.69230769230769
129.txt,109,55,57,32,52,23,0.5818181818181818,0.5229357798165137,0.5045871559633027,5.268044568716332,0.8541965519999646,0.07156255607130348,0.6163333333333331,0.68,0.6830704396087877,39.70524515393387,27.737536656891496,34.37614678899082
897.txt,96,57,41,33,55,24,0.5789473684210527,0.4270833333333333,0.59375,5.817538139110049,0.8857894048031328,0.057616028166710236,0.7676595744680854,0.7,0.7413644782699981,44.026490066225165,51.17142857142857,50.270833333333336
667.txt,34,26,14,11,20,15,0.4230769230769231,0.4117647058823529,0.7647058823529411,4.458963213705229,0.9239261032098017,0.04967348616010973,0.7647058823529411,0.7647058823529411,0.0,40.459999999999994,0.0,35.21212121212121
1495.txt,68,47,38,28,30,19,0.5957446808510638,0.5588235294117647,0.6911764705882353,5.699587188353825,0.9124636973614361,0.0477685549203092,0.7694736842105263,0.7,0.7932928938196712,61.28063241106719,46.2,56.89705882352941
101.txt,168,74,83,42,85,32,0.5675675675675675,0.49404761904761907,0.44047619047619047,5.7092239485974,0.8399873829139262,0.0719057878381626,0.7487394957983188,0.7200000000000001,0.7274689077545189,51.6656346749226,51.62866055513115,48.351190476190474
115.txt,90,63,47,37,43,26,0.5873015873015873,0.5222222222222223,0.7,6.640783086353596,0.9207355488187672,0.040560191889375034,0.818048780487805,0.74,0.8093047181796325,78.15789473684211,64.41666666666666,70.66666666666667
1481.txt,28,22,11,10,17,12,0.45454545454545453,0.39285714285714285,0.7857142857142857,4.157609203101499,0.9276268740167427,0.05001052021673971,0.7857142857142857,0.7857142857142857,0.0,36.586666666666666,0.0,31.0
673.txt,39,29,20,17,19,12,0.5862068965517241,0.5128205128205128,0.7435897435897436,4.643716460347527,0.9191317508042588,0.05082650248054595,0.7435897435897436,0.7435897435897436,0.0,42.58800000000001,0.0,35.68421052631579
840.txt,160,59,73,30,87,29,0.5084745762711864,0.45625,0.36875,4.664359548748359,0.803428137114523,0.08918383047760017,0.6313513513513513,0.6533333333333333,0.6367316802094013,34.646895485643945,35.32608695652174,34.65625
698.txt,49,34,19,16,30,18,0.47058823529411764,0.3877551020408163,0.6938775510204082,4.857142857142857,0.9060954140991849,0.055558397638237875,0.6938775510204082,0.6938775510204082,0.7222656176254039,49.0,43.625,39.04081632653061
854.txt,106,58,50,35,56,23,0.603448275862069,0.4716981132075472,0.5471698113207547,5.633458001672132,0.8706971247191854,0.063843628509865,0.6894736842105261,0.71,0.7402787822949172,45.614845224895866,36.32305764411028,41.72641509433962
1318.txt,111,53,51,29,60,24,0.5471698113207547,0.4594594594594595,0.4774774774774775,5.030537377488245,0.8430335391937352,0.07674409491032153,0.5770967741935483,0.58,0.6533878289412995,31.830013749601882,26.202944942381563,33.03603603603604
14.txt,53,35,24,17,29,18,0.4857142857142857,0.4528301886792453,0.660377358490566,4.807619738204116,0.8954878227854365,0.06061221354258155,0.68,0.68,0.7147758377661658,42.27125506072875,33.40909090909091,38.83018867924528
1330.txt,158,56,70,35,88,21,0.625,0.4430379746835443,0.35443037974683544,4.455120791384088,0.7951162722822723,0.09318584918648334,0.6264220183486238,0.6733333333333333,0.6510582100775212,39.7971917829849,39.33184847167898,37.563291139240505
1456.txt,90,56,45,32,45,24,0.5714285714285714,0.5,0.6222222222222222,5.902918298980975,0.8945604338060164,0.05395418720281265,0.7224390243902437,0.74,0.7593905250217208,54.45793149318258,46.19444444444444,51.7
1442.txt,48,38,29,26,19,12,0.6842105263157895,0.6041666666666666,0.7916666666666666,5.484827557301445,0.9396531333497672,0.03589423415787383,0.7916666666666666,0.7916666666666666,0.8082297302348184,64.512,0.0,53.0
868.txt,47,32,23,16,24,16,0.5,0.48936170212765956,0.6808510638297872,4.667679727932626,0.9001566332834632,0.05971143748715644,0.6808510638297872,0.6808510638297872,0.7004083387062111,41.035532994923855,32.85909090909091,35.255319148936174
1324.txt,229,98,125,61,104,37,0.6224489795918368,0.5458515283842795,0.4279475982532751,6.47602228445988,0.8437986845244401,0.06619161235794244,0.7394444444444449,0.7250000000000001,0.7555759687318475,54.37600401606426,52.46088971269694,52.06113537117904
28.txt,96,61,45,39,51,22,0.639344262295082,0.46875,0.6354166666666666,6.225786429573912,0.900648612184713,0.05011997660024753,0.7476595744680854,0.76,0.7717861083782814,66.62423500611996,42.10307781649245,52.229166666666664
1287.txt,131,58,64,33,67,25,0.5689655172413793,0.48854961832061067,0.44274809160305345,5.067483528634019,0.8328776747605062,0.07893288195159345,0.6985365853658527,0.7,0.7039557564867501,56.27247977269366,46.72896783315659,46.79389312977099
713.txt,80,50,35,24,45,26,0.48,0.4375,0.625,5.590169943749474,0.8927428634215241,0.056359466610408866,0.7354838709677418,0.76,0.7505819075439324,48.009780449289394,49.46,54.175
707.txt,110,73,53,43,57,30,0.589041095890411,0.4818181818181818,0.6636363636363637,6.960276901492824,0.912770420736583,0.04273042609470112,0.7878688524590164,0.8,0.8270286227520756,66.84881187617165,73.99113082039912,79.12727272727273
1293.txt,27,19,14,9,13,10,0.47368421052631576,0.5185185185185185,0.7037037037037037,3.65655170486763,0.8933812864154583,0.07448750363412099,0.7037037037037037,0.7037037037037037,0.0,26.2575,19.0,22.11111111111111
1278.txt,77,53,33,32,44,21,0.6037735849056604,0.42857142857142855,0.6883116883116883,6.039910552360811,0.9140123757794454,0.045580729909336155,0.7321428571428573,0.74,0.7639893205832461,49.921159298750055,38.22916666666667,46.83116883116883
934.txt,111,56,57,33,54,23,0.5892857142857143,0.5135135135135135,0.5045045045045045,5.3152847762139945,0.8547246792500587,0.07102805877442529,0.6564516129032252,0.74,0.7172724022039468,49.51939655172414,34.31406406406406,45.57657657657658
920.txt,102,66,42,33,60,33,0.5,0.4117647058823529,0.6470588235294118,6.534973783646051,0.9058766205052093,0.04686018691924482,0.7784905660377358,0.75,0.8007616997884981,65.39712918660288,63.13986013986015,65.1470588235294
1244.txt,132,68,63,42,69,26,0.6176470588235294,0.4772727272727273,0.5151515151515151,5.918640302493727,0.8641570500040018,0.06405952086695324,0.7303614457831328,0.71,0.7400408646382615,51.867158671586715,51.6205533596838,52.75
908.txt,202,74,97,46,105,28,0.6216216216216216,0.4801980198019802,0.36633663366336633,5.20662183100416,0.8108229159790363,0.0820599785907576,0.6580392156862749,0.665,0.6860386251948415,38.91470588235294,38.84390996834824,39.81683168316832
1522.txt,113,60,58,41,55,19,0.6833333333333333,0.5132743362831859,0.5309734513274337,5.6443252103015835,0.8660902636368282,0.06522387724064245,0.7809375000000003,0.73,0.7463843972244718,56.5,61.340638044126415,60.54867256637168
1536.txt,96,58,39,32,57,26,0.5517241379310345,0.40625,0.6041666666666666,5.9196002117260145,0.889599750110351,0.05569381628989484,0.7080851063829784,0.8,0.7536078526634283,45.10144927536232,37.22698612862547,47.635416666666664
